

Product name,Product price,Product description,Brand

Laptop,799,"High-performance laptop with Intel Core i7 processor, 16GB RAM, and 512GB SSD storage.",Dell


Smartwatch,249,"Fitness smartwatch with heart rate monitoring, GPS tracking, and 7-day battery life.",Fitbit
Headphones,149,"Noise-cancelling Bluetooth headphones with crisp sound quality and 30-hour playtime.",Bose
Camera,499,"DSLR camera with 24MP sensor, interchangeable lenses, and 4K video recording.",Canon
Printer,119,"Compact wireless printer with AirPrint, auto-duplex printing, and high-yield ink cartridges.",HP

Speakers,299,"Powerful Bluetooth speakers with 360-degree sound and up to 20 hours of playtime.",JBL
Gaming Console,499,"High-performance gaming console with 8K graphics, ultra-fast SSD, and next-gen controllers.",Microsoft
Laptop,849,"High-performance laptop with Intel Core i7 processor, 16GB RAM, and 1TB SSD storage.",Asus


Smartwatch,199,"Fitness smartwatch with GPS, heart rate monitoring, and 5 day battery life.",Garmin  
Headphones,99,"Wireless earbuds with active noise cancellation and wireless charging case.",Anker
Camera,399,"Mirrorless camera with 20MP sensor, interchangeable lenses, and 4K video.",Sony 
Printer,89,"Compact inkjet printer with wireless printing, auto 2-sided printing and scanner.",Canon

Speakers,249,"Bluetooth speaker with 360 degree surround sound, 20-hour battery life.",Bose
Gaming Console,599,"High performance gaming console with 8K graphics, SSD storage and advanced immersive controllers.",PlayStation
Laptop,899,"High-performance laptop with Intel Core i9 processor, 32GB RAM, 1TB SSD storage.",MSI


Smartwatch,279,"Advanced smartwatch with built-in GPS, NFC, heart rate monitoring and 7 day battery life.",Garmin
Headphones,169,"Over-ear noise cancelling wireless headphones with 40mm drivers and 30 hour battery life.",Sony
Camera,629,"DSLR camera with full-frame 24MP sensor, 4K video, touchscreen LCD and wireless connectivity.",Canon 
Printer,139,"All-in-one wireless printer with print, copy, scan functions and auto document feeder.",Epson

Speakers,399,"Premium wireless speakers with 360 degree sound, multi-room audio and voice assistant support.",Sonos
Gaming Console,699,"Cutting edge gaming console with ray tracing, 4K gaming at 120 fps, ultra high speed SSD.",Microsoft



Smartwatch,399,"Luxury smartwatch with sapphire crystal, stainless steel case, ECG, fall detection and LTE.",Apple
Headphones,279,"Premium over-ear headphones with active noise cancellation, 40mm drivers, 30 hours battery life.",Bose  
Camera,1299,"Pro full-frame mirrorless camera with 45MP sensor, 8K video, in-body stabilization and dual card slots.",Nikon
Printer,199,"Business inkjet printer with auto duplex printing, 35ppm speed, wireless printing and 500 sheet capacity.",Brother 

